Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
1	705.8134171907757	1383.6813417190776	['Cdh13', 'Cnr1', 'Cryab', 'Cxcl14', 'Gad1', 'Id2', 'Lhx6', 'Pde1a', 'Penk', 'Rgs10', 'Rgs4', 'Snca', 'Sncg']	[0.9718279154365371, 0.9697543259943876, 0.02486224210829779, 1.8465644189171224, 1.2519657797879444, 0.9773675408685321, 0.8643587870341671, 0.29706829636500026, 0.0399534339776187, 0.22545750731459857, 0.01944076455472718, 0.1348131819896533, 0.007020771707815461]	['label_0', 'label_1', 'label_10', 'label_11', 'label_12', 'label_13', 'label_14', 'label_15', 'label_16', 'label_17', 'label_18', 'label_19', 'label_2', 'label_20', 'label_21', 'label_22', 'label_23', 'label_24', 'label_25', 'label_26', 'label_27', 'label_28', 'label_29', 'label_3', 'label_30', 'label_31', 'label_32', 'label_33', 'label_34', 'label_35', 'label_36', 'label_37', 'label_38', 'label_39', 'label_4', 'label_40', 'label_41', 'label_42', 'label_43', 'label_44', 'label_45', 'label_46', 'label_47', 'label_48', 'label_49', 'label_5', 'label_50', 'label_51', 'label_52', 'label_53', 'label_54', 'label_55', 'label_56', 'label_57', 'label_58', 'label_59', 'label_6', 'label_60', 'label_61', 'label_62', 'label_63', 'label_64', 'label_65', 'label_66', 'label_67', 'label_68', 'label_69', 'label_7', 'label_8', 'label_9', 'Zero']	[0.005980376969202592, 0.005077082182456441, 0.006265195453514812, 0.006082649027177215, 0.004771201535291318, 0.006436883163773546, 0.0062342431602951795, 0.00621033985528066, 0.00433196886724161, 0.07076977493079613, 0.006135038565837415, 0.00621999366935881, 0.0061910084197338315, 0.026023511108978485, 0.0062707326907839095, 0.006046697098081158, 0.006122097645269263, 0.0064643578614177214, 0.01544117746826213, 0.006190822321037404, 0.005929458421947155, 0.005967323675392779, 0.006180420340525519, 0.005845442548390892, 0.015420835398768028, 0.006185611918573227, 0.006222282911843703, 0.006473244333576674, 0.006252116642420221, 0.006418542702871606, 0.0064640184936166495, 0.006064562386291211, 0.00640963987521173, 0.004846647692521182, 0.006452659865212671, 0.007305588620061343, 0.005498178509741914, 0.0060254851571558965, 0.004026898665754282, 0.0058854160122267275, 0.006151458000451905, 0.0063765764451535565, 0.005653340801242767, 0.006115530470884892, 0.006433658593861853, 0.014717446755381263, 0.005617256568511625, 0.006788727350716043, 0.006241193745685961, 0.005114242869962805, 0.0057719378618037815, 0.006098081610256203, 0.0056223057361272566, 0.00621951962822881, 0.006039744068191964, 0.00550845775031922, 0.006208745654886237, 0.005772476697820152, 0.0059817966406058255, 0.006096106765005509, 0.006158945560055179, 0.00620872550376389, 0.006049849555438049, 0.005878966306632398, 0.006244383603096943, 0.005865423680338061, 0.0062192932500924406, 0.005855062621547975, 0.010541263977565994, 0.006254800976636327, 0.46305515478384185]
2	725.0086206896551	1698.2619047619048	['Cadps2', 'Cdh13', 'Cnr1', 'Cox6a2', 'Cplx2', 'Crh', 'Cryab', 'Cxcl14', 'Gad1', 'Lhx6', 'Nrn1', 'Pcp4', 'Pde1a', 'Penk', 'Rgs10', 'Rgs4', 'Sema3c', 'Snca', 'Sncg', 'Trp53i11']	[1.8891202361188015, 1.3494830764327168, 6.976679252525625, 4.070901268786914, 7.881845908115645, 0.8997307747236232, 0.004166399987059945, 0.01545433489170997, 0.9729935379192649, 2.868198313800067, 1.945171168881391, 3.096091837865759, 6.371200708563077, 1.9260364918823971, 4.375609158433049, 4.339835163856272, 0.9745892815224908, 4.873582989041805, 5.207153957860063, 3.2297379865040163]	['label_12', 'label_39', 'label_40', 'label_51', 'label_53', 'label_58', 'label_59', 'label_8', 'Zero']	[0.9454222881784694, 0.0010626049259663238, 0.03174511030735344, 0.002173345582567523, 0.004397779001094732, 0.005885894506508167, 0.0036467798978457593, 0.001326059543582692, 0.001515388705500335]
3	725.6002796333696	1997.5294391797422	['Cadps2', 'Calb2', 'Col25a1', 'Cplx2', 'Cryab', 'Cxcl14', 'Enpp2', 'Gad1', 'Grin3a', 'Kctd12', 'Kit', 'Npy2r', 'Plp1', 'Pnoc', 'Prkca', 'Reln', 'Rgs10', 'Rgs4', 'Satb1', 'Snca']	[0.9605092107810345, 3.903968145610689, 0.7923589642354602, 0.01222961454007937, 3.723406508945291, 2.253031389325924, 1.9431676369020283, 1.9088183596224797, 0.9186848030798652, 0.9230191967018015, 0.0036294646962705085, 0.8993496496855243, 8.75151966487509, 4.948145509721697, 0.15264895316653912, 1.0809924402962563, 0.2940393316604875, 1.8695171441282574, 0.975770616958007, 0.9452426748722469]	['label_43']	[0.9997584992915521]
4	726.9620028409091	2326.113103693182	['Cadps2', 'Calb2', 'Cck', 'Cdh13', 'Cplx2', 'Cpne5', 'Cryab', 'Cxcl14', 'Id2', 'Kit', 'Lhx6', 'Pcp4', 'Penk', 'Plp1', 'Pnoc', 'Rgs4', 'Satb1', 'Snca', 'Trp53i11', 'Wfs1']	[1.8948673153171074, 1.5220725476879835, 0.8368164528259273, 0.8772407294778938, 1.5556497061824157, 0.9583834667853336, 0.001234234479005372, 0.9264458252142145, 1.9601461284390864, 0.6038352161461052, 0.9715241956582118, 0.9404862261162955, 0.8615048650849784, 0.001057580587924353, 1.3953366151964737, 1.5629730405306175, 0.0014971603234495373, 0.9543074000731513, 0.013849282532476874, 0.968925865235113]	['label_0', 'label_1', 'label_10', 'label_11', 'label_12', 'label_13', 'label_14', 'label_15', 'label_16', 'label_17', 'label_18', 'label_19', 'label_2', 'label_20', 'label_21', 'label_22', 'label_23', 'label_24', 'label_25', 'label_26', 'label_27', 'label_28', 'label_29', 'label_3', 'label_30', 'label_31', 'label_32', 'label_33', 'label_34', 'label_35', 'label_36', 'label_37', 'label_38', 'label_39', 'label_4', 'label_40', 'label_41', 'label_42', 'label_43', 'label_44', 'label_45', 'label_46', 'label_47', 'label_48', 'label_49', 'label_5', 'label_50', 'label_51', 'label_52', 'label_53', 'label_54', 'label_55', 'label_56', 'label_57', 'label_58', 'label_59', 'label_6', 'label_60', 'label_61', 'label_62', 'label_63', 'label_64', 'label_65', 'label_66', 'label_67', 'label_68', 'label_69', 'label_7', 'label_8', 'label_9', 'Zero']	[0.00522055069057923, 0.0481443093126306, 0.0054924228982206995, 0.005317974904852078, 0.037031315039258154, 0.006430461525399404, 0.00546279393653451, 0.005439926484966959, 0.003534068196491409, 0.016031083319083112, 0.005368004131831443, 0.005449160490796506, 0.005421441647292299, 0.004099885922998705, 0.005497725535694733, 0.00528370789603446, 0.0053556133771838965, 0.005683553896685919, 0.04360813524579727, 0.005421263737136427, 0.005172211034815529, 0.007788612921056251, 0.00541132062475543, 0.01644677572628454, 0.016149390179477432, 0.0054177520725167275, 0.005451350472671178, 0.005692101444228065, 0.005479900782224964, 0.005639512373630781, 0.005683227504964616, 0.005300729300480753, 0.005630959312062911, 0.015236902611906616, 0.00621997876268333, 0.004482363016122955, 0.012404022771787452, 0.005263493068205915, 0.0034106515894125164, 0.01435273085901539, 0.00538364803459422, 0.00559920942970431, 0.004910530349727869, 0.005349345241867666, 0.005654038217415559, 0.012101075925476096, 0.0048764661959714885, 0.004611973261487226, 0.0054694455904718, 0.03327029666492419, 0.00502892184874849, 0.005332695393909241, 0.004881230894405507, 0.00544870701778545, 0.014267336942955268, 0.004738147189461601, 0.005438401800611407, 0.00502319897782717, 0.005221904948555372, 0.005330832712511413, 0.005390800448897441, 0.005438382528535708, 0.005286705841340805, 0.005177145993453323, 0.00547249860086845, 0.010612371660086915, 0.005448490463626852, 0.005101394555880513, 0.005260567747648731, 0.005482524739916356, 0.4074643261635623]
5	743.0711517165006	1812.2279900332226	['Cadps2', 'Calb2', 'Cdh13', 'Chrm2', 'Cox6a2', 'Cplx2', 'Cpne5', 'Cryab', 'Cxcl14', 'Gad1', 'Id2', 'Lhx6', 'Nos1', 'Nrn1', 'Pcp4', 'Pde1a', 'Penk', 'Plp1', 'Pnoc', 'Reln', 'Rgs10', 'Rgs4', 'Satb1', 'Serpini1', 'Snca', 'Sncg', 'Trp53i11', 'Wfs1']	[0.013717793663142326, 4.779389741647704, 2.3899190945637105, 0.0025895251774497243, 1.010109289923326, 0.00390531946681761, 0.9717938357815403, 5.991804033237479, 10.119499217837832, 0.028870356183286493, 3.7872961300719745, 0.8525044492769974, 0.05161918987423703, 0.8396360878995497, 0.9846380703957563, 0.9712499431916675, 0.9325138478712558, 0.8759410541821662, 0.7742997985286498, 0.5868603890994003, 2.2908912493294373, 6.795077150401325, 0.004542271281444471, 1.891466449440565, 5.846814841121876, 1.8627561647174973, 0.7166851068585414, 0.9507458180321111]	['label_16', 'label_17', 'label_53']	[0.0027683625197768348, 0.995853138929854, 0.0011318410042429488]
6	746.2445883066963	1559.6200687841392	['Cadps2', 'Calb2', 'Cdh13', 'Cnr1', 'Col25a1', 'Cox6a2', 'Cplx2', 'Cxcl14', 'Gad1', 'Id2', 'Kctd12', 'Lhx6', 'Npy2r', 'Pcp4', 'Pde1a', 'Penk', 'Pnoc', 'Prkca', 'Reln', 'Rgs10', 'Rgs4', 'Serpini1', 'Sst']	[5.922302335030532, 2.911923899200394, 1.1977124988127288, 0.9654014649113947, 1.7485940892042202, 0.001180663384974549, 0.00313681618492806, 2.0343358626642294, 0.959786886832087, 0.9318338736800656, 0.1179959822093194, 3.8616382662583355, 0.14991700891205154, 0.9636094064756991, 0.1170449856076129, 1.896231967342997, 0.9750111240888302, 1.876069336979263, 6.774845413581313, 1.017310260385046, 2.8236316057853066, 0.9441752552819885, 1.8974289673657172]	['label_1', 'label_17', 'label_20', 'label_25', 'label_3', 'label_30', 'label_39', 'label_41', 'label_45', 'label_5', 'label_50', 'label_51', 'label_53', 'label_60', 'Zero']	[0.606072247394662, 0.00733395883996235, 0.0013160779578111625, 0.0011058556418721622, 0.0038782252198290355, 0.07582825188148548, 0.0013045350808749373, 0.0033870215104219222, 0.0011064828618409588, 0.001414088232257615, 0.21957282358737726, 0.0011948507468851294, 0.01397866229199602, 0.0019773003837342306, 0.0340553892735082]
7	739.0629612184016	2143.78191238813	['Bcl11b', 'Cadps2', 'Cck', 'Cnr1', 'Col25a1', 'Cplx2', 'Cxcl14', 'Enpp2', 'Gad1', 'Kit', 'Lhx6', 'Plp1', 'Reln', 'Rgs12', 'Rgs4', 'Snca', 'Wfs1']	[0.9234218714986034, 0.0886699070035783, 0.06257796350804389, 0.7523547190720149, 0.19491746253478703, 0.869889082317986, 1.247308165811732, 0.015637405481756315, 1.1083405902521537, 0.03823790001984518, 2.9456964518464, 1.9593872585645828, 0.9739178558518118, 0.9671318047633435, 1.1364694637117265, 1.1201562344752254, 0.8900876211061496]	['label_0', 'label_1', 'label_10', 'label_11', 'label_12', 'label_13', 'label_14', 'label_15', 'label_16', 'label_17', 'label_18', 'label_19', 'label_2', 'label_20', 'label_21', 'label_22', 'label_23', 'label_24', 'label_25', 'label_26', 'label_27', 'label_28', 'label_29', 'label_3', 'label_30', 'label_31', 'label_32', 'label_33', 'label_34', 'label_35', 'label_36', 'label_37', 'label_38', 'label_39', 'label_4', 'label_40', 'label_41', 'label_42', 'label_43', 'label_44', 'label_45', 'label_46', 'label_47', 'label_48', 'label_49', 'label_5', 'label_50', 'label_51', 'label_52', 'label_53', 'label_54', 'label_55', 'label_56', 'label_57', 'label_58', 'label_59', 'label_6', 'label_60', 'label_61', 'label_62', 'label_63', 'label_64', 'label_65', 'label_66', 'label_67', 'label_68', 'label_69', 'label_7', 'label_8', 'label_9', 'Zero']	[0.007831039230879898, 0.003967485600322892, 0.00446984917003921, 0.004325368140861802, 0.01146508868591761, 0.0046063835091027065, 0.00444530106585869, 0.0044263574576882386, 0.002853146119669735, 0.021674844405151113, 0.004401862482034634, 0.004434006734238297, 0.00441104602241913, 0.01604982562103321, 0.004474242876641605, 0.00429699721720558, 0.0043565303557474, 0.004628290667097518, 0.0037032203716463796, 0.004410898662011171, 0.004204681073743663, 0.004345179383626262, 0.004402663133669281, 0.004138694920037416, 0.22002206544071284, 0.0044085721574171136, 0.004435820925512664, 0.004635379775078159, 0.004459473941626969, 0.004591768484398958, 0.0046280199723558535, 0.004311091868552591, 0.004584680466195991, 0.0033675332052509064, 0.004651466886999109, 0.003635051479807082, 0.0036826783636361602, 0.0042802711698072425, 0.08213632625909495, 0.004170067421546568, 0.004379745057371973, 0.0045583534699027446, 0.003988412324541667, 0.004351340337397178, 0.004603813419839307, 0.0037884948619840843, 0.010008214999735024, 0.003741960295406425, 0.006519114548727707, 0.015618849296835161, 0.004081103375781471, 0.004337555047711545, 0.003964213164020861, 0.004433631077533594, 0.014348702075614367, 0.0038460662806433865, 0.004425094471675461, 0.004081518413894346, 0.004245852422453302, 0.004335995253608494, 0.004385668289023972, 0.004425078507539348, 0.004299487415568283, 0.004165272237441257, 0.004453341149859519, 0.00819464477083205, 0.004433451684528682, 0.004146168890343849, 0.006842169810372592, 0.004803312221473059, 0.33187010410370266]
8	745.9915739440423	2672.2097871880737	['Cadps2', 'Calb1', 'Calb2', 'Cnr1', 'Cox6a2', 'Cplx2', 'Cryab', 'Cxcl14', 'Gad1', 'Id2', 'Kctd12', 'Lhx6', 'Pde1a', 'Plp1', 'Pvalb', 'Rab3c', 'Rgs10', 'Rgs4', 'Serpini1', 'Snca', 'Sncg', 'Trp53i11']	[5.93387208085713, 0.937069671685251, 2.88706199981893, 0.6319501842361639, 0.9144763125628477, 0.9778282475036396, 0.9499518021733883, 0.614506542861865, 1.9545861956690223, 3.9006867284613467, 0.0017009204865138532, 0.9581523690783514, 1.9282672505823102, 0.0024181026780954406, 0.004731352120033145, 0.007912989328301995, 0.5011984627048548, 0.9657893687048998, 1.8736886129060957, 0.916158476522644, 0.9547726297728151, 0.005764987307097028]	['label_1', 'label_12', 'label_16', 'label_20', 'label_25', 'label_3', 'label_30', 'label_40', 'label_53', 'label_56', 'label_58', 'label_59', 'Zero']	[0.8663067417101883, 0.0015065903224415133, 0.001581075328048861, 0.006141476238321027, 0.04125308904482396, 0.004576691156724337, 0.0014612432649038097, 0.004333278474439147, 0.0014052595735744226, 0.0026901823639622125, 0.0012576045924198897, 0.0011833380411587718, 0.03701810648918545]
9	734.8001547189273	2874.6503352243426	['Cryab', 'Kctd12', 'Neurod6', 'Plp1', 'Satb1', 'Wfs1']	[0.29661616060229534, 0.0016367797071595764, 0.9720605332351527, 0.02269677216382802, 0.9773237591628053, 0.9649604635774707]	['label_0', 'label_1', 'label_10', 'label_11', 'label_12', 'label_13', 'label_14', 'label_15', 'label_16', 'label_17', 'label_18', 'label_19', 'label_2', 'label_20', 'label_21', 'label_22', 'label_23', 'label_24', 'label_25', 'label_26', 'label_27', 'label_28', 'label_29', 'label_3', 'label_30', 'label_31', 'label_32', 'label_33', 'label_34', 'label_35', 'label_36', 'label_37', 'label_38', 'label_39', 'label_4', 'label_40', 'label_41', 'label_42', 'label_43', 'label_44', 'label_45', 'label_46', 'label_47', 'label_48', 'label_49', 'label_5', 'label_50', 'label_51', 'label_52', 'label_53', 'label_54', 'label_55', 'label_56', 'label_57', 'label_58', 'label_59', 'label_6', 'label_60', 'label_61', 'label_62', 'label_63', 'label_64', 'label_65', 'label_66', 'label_67', 'label_68', 'label_69', 'label_7', 'label_8', 'label_9', 'Zero']	[0.006712488641769686, 0.005694608011275869, 0.007033678375329884, 0.006827846357029674, 0.005350097976918493, 0.007227339925550855, 0.0069987685067871, 0.006971809738687616, 0.007535099238798999, 0.004994427026952823, 0.006886871150098093, 0.00698269747421714, 0.006950007770686395, 0.005366886678381829, 0.007039923733410752, 0.006787268613470133, 0.006872294133951578, 0.007258334437589336, 0.0059298925536579415, 0.006949797891110163, 0.006662268771287936, 0.006697770925126485, 0.006938066748683258, 0.006560359368441266, 0.005361113079711373, 0.006943921687907822, 0.010138021062113827, 0.0072683595655736325, 0.007018927154115271, 0.007206650368118244, 0.007257951587299769, 0.00680741377276605, 0.007196607392334345, 0.0054350415956854895, 0.007245137683713928, 0.005830167413112245, 0.0058997821494025625, 0.006763350249467936, 0.0046866024508455, 0.006605424243962438, 0.006905404330586342, 0.007159310528328977, 0.00634381874920124, 0.006864888363916333, 0.007223702313663326, 0.006053921760449588, 0.006303149352317114, 0.005986774987901992, 0.007006952041282792, 0.005597690933564134, 0.013937738222539974, 0.0068452116365238245, 0.006308840005679235, 0.006982162839834255, 0.005789672971918663, 0.006137718923738939, 0.006970011783703784, 0.006478105235891702, 0.006714089348387641, 0.006842984667854041, 0.006913848360110053, 0.006969989057089035, 0.0067908233407016965, 0.006598155613417086, 0.007010205378865386, 0.01308601220815643, 0.006981907525516094, 0.006571099790174447, 0.006759851960903661, 0.007021746351718728, 0.5199511359107198]
10	752.7752126366951	1439.872417982989	['Cadps2', 'Cdh13', 'Chrm2', 'Cnr1', 'Col25a1', 'Cplx2', 'Cryab', 'Cxcl14', 'Enpp2', 'Gad1', 'Id2', 'Lhx6', 'Pcp4', 'Pde1a', 'Penk', 'Rgs10', 'Rgs4', 'Serpini1', 'Snca', 'Sncg', 'Thsd7a', 'Trp53i11', 'Wfs1']	[0.07694948853969757, 0.11361235248244239, 0.9735642029815199, 0.007418072921205769, 0.9757419707162845, 0.9201116056166351, 0.0035796117176352636, 0.0017544679394920929, 0.9688393330078973, 0.033668170973367224, 0.9765661224768993, 0.9189120952870424, 0.7112563780401632, 1.3234798153031928, 0.7395916395915838, 0.8964859372282484, 0.8776547539148836, 0.004611920179591307, 2.8876066124429953, 1.6746345929002515, 0.0033743858135986088, 0.3625752433179454, 1.0068036660148998]	['label_0', 'label_1', 'label_10', 'label_11', 'label_12', 'label_13', 'label_14', 'label_15', 'label_16', 'label_17', 'label_18', 'label_19', 'label_2', 'label_20', 'label_21', 'label_22', 'label_23', 'label_24', 'label_25', 'label_26', 'label_27', 'label_28', 'label_29', 'label_3', 'label_30', 'label_31', 'label_32', 'label_33', 'label_34', 'label_35', 'label_36', 'label_37', 'label_38', 'label_39', 'label_4', 'label_40', 'label_41', 'label_42', 'label_43', 'label_44', 'label_45', 'label_46', 'label_47', 'label_48', 'label_49', 'label_5', 'label_50', 'label_51', 'label_52', 'label_53', 'label_54', 'label_55', 'label_56', 'label_57', 'label_58', 'label_59', 'label_6', 'label_60', 'label_61', 'label_62', 'label_63', 'label_64', 'label_65', 'label_66', 'label_67', 'label_68', 'label_69', 'label_7', 'label_8', 'label_9', 'Zero']	[0.005177660105507481, 0.004813827516766635, 0.0054295396958586135, 0.0052680621030715144, 0.014546397292562775, 0.005581548511549233, 0.0054021492057074105, 0.005380999500536773, 0.003599268871238055, 0.0038456088407587763, 0.008455023066615842, 0.0053895409098095835, 0.005363897969622748, 0.004319845430913887, 0.005434440195465839, 0.005236914415008068, 0.005302944924256414, 0.005605886234712838, 0.013492277803133449, 0.005363732247783459, 0.0051326692237984115, 0.005166125270380884, 0.005354530270366448, 0.005058460170427604, 0.014492140934307415, 0.005359122871563292, 0.005391566425510835, 0.005613758793336524, 0.005417965389695355, 0.005565303970764668, 0.005605585594452156, 0.005252071184650743, 0.005557419083523147, 0.010820877145564217, 0.005595523469803948, 0.0208083435905031, 0.010435137225849574, 0.005217526980767517, 0.0034606259598702156, 0.005093763630166968, 0.005328911689450169, 0.005528139179525575, 0.004888905013394119, 0.005297137346124002, 0.005578692332400526, 0.005249836207573172, 0.0048570946545212525, 0.01214469584785334, 0.0054082995844182725, 0.01309450474041882, 0.004993562220701127, 0.005281707670776803, 0.004881745805202317, 0.005389121482422679, 0.1339924247663806, 0.02520100829943741, 0.005379589039598587, 0.004994037872345199, 0.005178934701578142, 0.005279967037604393, 0.005335534431634137, 0.005379571211065818, 0.005248994683334859, 0.006579762097252876, 0.0054111222728691535, 0.010480815195864574, 0.0053889211854130465, 0.010296810625770923, 0.005237510055990103, 0.007646620397690708, 0.4016379403252047]
